"","area","location","Timepoint","date","water_temp","nest_ID","Nest_size","Live_eggs","Egg_squares","Eyed","male","length","weight","canibalism","hatched_in_box"
"60","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,21,"s","y",24.5,"n","y",43,63,"y",""
"61","Helligvaer","Gudmunholmen","3","05.07.2022",NA,3,"s","y",26,"y","y",43,59,"y",""
"62","Helligvaer","Gudmunholmen","3","05.07.2022",NA,23,"s","y",1.5,"y","y",43,59,"y","y"
"63","Hitra","Teistholmen 10","2","12.06.2022",NA,12,"l","y",91.5,"y","y",43.5,77,"n",""
"64","Arendal","St Helena","3","19.07.2022",17.3,9,"s","y",30,"y","y",43.5,65,"y",""
"65","Arendal","St Helena","3","19.07.2022",17.3,21,"s","y",30,"n","y",43.5,65,"y",""
"66","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,19,"s","y",24,"y","y",43.5,67,"y",""
"67","Arendal","Langrumpa","3","21.07.2022",17.7,19,"s","n",0,"n","y",44,61,"n",""
"68","Arendal","Sven Johnsens","3","20.07.2022",16.6,7,"s","y",21,"y","y",44,77,"y",""
"69","Arendal","Sven Johnsens","3","20.07.2022",16.6,4,"l","y",78,"n","y",44,69,"y",""
"70","Arendal","St Helena","3","19.07.2022",17.3,26,"l","y",6,"y","y",44,75,"n","y"
"71","Arendal","St Helena","3","19.07.2022",17.3,30,"l","n",0,"","y",44,78,"","y"
"72","Arendal","Sven Johnsens","2","22.06.2022",14.6,6,"l","y",23,"n","y",44,68,"n",""
"73","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,17,"s","y",20,"y","y",44,63,"y",""
"74","Helligvaer","Store-kvannoya","2","10.06.2022",NA,9,"s","y",33,"n","y",44,61,"n",""
"75","Hitra","Feoya f4-5","2","10.06.2022",10.25,27,"s","y",31,"y","y",44.5,68,"n",""
"76","Hitra","Teistholmen 10","2","12.06.2022",NA,17,"s","y",36.5,"y","y",44.5,73,"y",""
"77","Hitra","Feoya f4-5","3","10.07.2022",12.8,4,"l","n",0,"","y",44.5,67,"",""
"78","Arendal","Sven Johnsens","3","20.07.2022",16.6,12,"l","y",66,"n","y",44.5,78,"y",""
"79","Arendal","St Helena","2","17.06.2022",NA,30,"l","y",2,"y","y",44.5,75,"","y"
"80","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,25,"s","y",27.5,"y","y",44.5,70,"y",""
"81","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,30,"l","n",0,"","y",44.5,65,"y",""
"82","Hitra","Teistholmen 10","2","12.06.2022",NA,13,"s","y",34,"y","y",45,74,"n",""
"83","Hitra","Teistholmen 10","2","12.06.2022",NA,6,"l","y",48.5,"n","y",45,73,"y",""
"84","Hitra","Teistholmen 10","3","07.07.2022",13,19,"s","y",11,"y","y",45,72,"n",""
"85","Hitra","Teistholmen 10","3","07.07.2022",13,6,"l","n",0,"","y",45,81,"n",""
"86","Hitra","Teistholmen 10","3","07.07.2022",13,8,"l","y",36,"y","y",45,83,"n",""
"87","Arendal","Langrumpa","3","21.07.2022",17.7,18,"l","n",0,"n","y",45,74,"n",""
"88","Arendal","St Helena","3","19.07.2022",17.3,27,"s","y",12,"n","y",45,74,"n",""
"89","Arendal","St Helena","2","17.06.2022",NA,26,"ll","y",91,"n","y",45,77,"y",""
"90","Arendal","St Helena","2","17.06.2022",NA,2,"l","y",40,"y","y",45,85,"",""
"91","Austevoll","Lamoya","2","20.0.2022",13.9,7,"s","y",0,"","y",45,65,"","y"
"92","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,13,"s","n",0,"","y",45,66,"",""
"93","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,9,"s","y",13,"n","y",45,68,"y",""
"94","Hitra","Teistholmen 10","2","12.06.2022",NA,7,"s","y",35.5,"y","y",45.5,78,"n",""
"95","Arendal","Sven Johnsens","3","20.07.2022",16.6,14,"l","y",32,"y","y",45.5,79,"n","y"
"96","Arendal","Sven Johnsens","2","22.06.2022",14.6,1,"s","y",33,"y","y",45.5,77,"n",""
"97","Arendal","Sven Johnsens","2","22.06.2022",14.6,8,"l","y",45.5,"n","y",45.5,85,"y",""
"98","Arendal","Langrumpa","2","21.06.2022",14.5,26,"l","y",33,"n","y",45.5,72,"y",""
"99","Helligvaer","Gudmunholmen","2","12.06.2022",NA,23,"s","y",22,"y","y",45.5,68,"y",""
"100","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,12,"l","y",85,"y","y",45.5,62,"y",""
"101","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,25,"s","y",28,"n","y",45.5,69,"y",""
"102","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,4,"l","y",27,"n","y",45.5,72,"",""
"103","Hitra","Feoya f4-5","2","10.06.2022",10.25,1,"s","y",35,"n","y",46,69,"n",""
"104","Hitra","Teistholmen 10","2","12.06.2022",NA,10,"l","y",49.5,"n","y",46,72,"n",""
"105","Hitra","Feoya f4-5","3","10.07.2022",12.8,3,"s","y",30,"n","y",46,93,"y",""
"106","Hitra","Feoya f4-5","3","10.07.2022",12.8,7,"s","y",22,"n","y",46,58,"n",""
"107","Arendal","Langrumpa","3","21.07.2022",17.7,16,"l","y",0.5,"n","y",46,82,"n",""
"108","Arendal","Sven Johnsens","2","22.06.2022",14.6,14,"l","y",65,"y","y",46,80,"y",""
"109","Arendal","St Helena","2","17.06.2022",NA,1,"s","y",30,"n","y",46,93,"y",""
"110","Kristineberg","Pittleholmen","3","12.07.2022",NA,8,"l","y",48,"n","y",46,78,"n",""
"111","Austevoll","Lamoya","3","22.07.2022",NA,18,"l","y",69,"y","y",46,75,"n",""
"112","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,24,"l","y",26,"n","y",46,66,"y",""
"113","Austevoll","Krabbavika","2","19.06.2022",12.9,9,"s","y",24,"n","y",46,83,"n",""
"114","Helligvaer","Store-kvannoya","2","10.06.2022",NA,6,"l","y",46,"n","y",46,78,"n",""
"115","Helligvaer","Gudmunholmen","3","05.07.2022",NA,29,"s","y",32,"y","y",46,70,"y",""
"116","Hitra","Teistholmen 10","2","12.06.2022",NA,16,"l","y",86,"y","y",46.5,86,"n",""
"117","Arendal","Sven Johnsens","3","20.07.2022",16.6,20,"l","y",36,"y","y",46.5,89,"n",""
"118","Arendal","Sven Johnsens","2","22.06.2022",14.6,12,"l","y",84.5,"n","y",46.5,84,"n",""
"119","Arendal","Sven Johnsens","2","22.06.2022",14.6,7,"s","y",28,"y","y",46.5,87,"y",""
"120","Kristineberg","Pittleholmen","3","12.07.2022",NA,17,"s","y",23,"y","y",46.5,81,"y",""
"121","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,28,"l","n",0,"","y",46.5,77,"",""
"122","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,21,"s","y",30,"n","y",46.5,81,"n",""
"123","Hitra","Teistholmen 10","2","12.06.2022",NA,18,"l","y",96,"y","y",47,79,"n",""
"124","Hitra","Feoya f4-5","3","10.07.2022",12.8,1,"s","y",35,"y","y",47,85,"n",""
"125","Arendal","Sven Johnsens","3","20.07.2022",16.6,10,"l","y",66,"n","y",47,84,"y",""
"126","Arendal","Sven Johnsens","2","22.06.2022",14.6,19,"s","y",1,"y","y",47,86,"n","y"
"127","Austevoll","Krabbavika","3","21.07.2022",15.9,6,"l","y",71.5,"y","y",47,76,"y",""
"128","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,22,"l","n",0,"","y",47,95,"",""
"129","Austevoll","Lamoya","2","20.0.2022",13.9,8,"l","y",0,"","y",47,75,"","y"
"130","Kristineberg","Blabergsholmen","3","15.07.2022",NA,5,"s","y",30,"n","y",47.5,85,"y",""
"131","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,20,"l","y",72,"n","y",47.5,95,"y",""
"132","Kristineberg","Pittleholmen","2","08.06.2022",NA,19,"s","y",28,"n","y",47.5,90,"y",""
"133","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,15,"s","y",30,"n","y",47.5,88,"n",""
"134","Austevoll","Krabbavika","3","21.07.2022",15.9,7,"s","y",30,"y","y",47.5,92,"y",""
"135","Helligvaer","Gudmunholmen","3","05.07.2022",NA,10,"l","y",47.5,"y","y",47.5,72,"y","y"
"136","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,3,"s","n",0,"","y",47.5,76,"y",""
"137","Hitra","Feoya f4-5","2","10.06.2022",10.25,25,"","n",0,"","y",48,99,"",""
"138","Hitra","Teistholmen 10","2","12.06.2022",NA,5,"s","y",35,"y","y",48,82,"n",""
"139","Hitra","Teistholmen 10","2","12.06.2022",NA,15,"s","y",9,"y","y",48,103,"n",""
"140","Hitra","Teistholmen 10","3","07.07.2022",13,18,"l","y",66,"n","y",48,92,"n",""
"141","Arendal","Langrumpa","3","21.07.2022",17.7,12,"l","y",5,"y","y",48,76,"n","y"
"142","Arendal","Sven Johnsens","3","20.07.2022",16.6,19,"s","y",35,"y","y",48,99,"y",""
