"","area","location","Timepoint","date","water_temp","nest_ID","Nest_size","Live_eggs","Egg_squares","Eyed","male","length","weight","canibalism","hatched_in_box"
"255","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,27,"s","y",23,"y","y",55.5,140,"",""
"256","Kristineberg","Pittleholmen","2","08.06.2022",NA,1,"s","y",23,"y","y",55.5,124,"n",""
"257","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,28,"l","y",2,"y","y",55.5,142,"n",""
"258","Ringstad","Finnoya","2","24.06.2022",10.3,11,"s","y",28,"y","y",55.5,127,"y",""
"259","Ringstad","Finnoya","3","18.07.2022",13.2,16,"l","y",85,"y","y",55.5,125,"n",""
"260","Hitra","Feoya f4-5","2","10.06.2022",10.25,26,"l","y",77.5,"n","y",56,133,"n",""
"261","Hitra","Feoya f4-5","3","10.07.2022",12.8,29,"s","y",35,"n","y",56,145,"n",""
"262","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,30,"l","y",6,"y","y",56,142,"","y"
"263","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,3,"s","y",25,"y","y",56,122,"y",""
"264","Ringstad","Finnoya","2","26.06.2022",12.5,25,"s","n",0,"","y",56,124,"",""
"265","Ringstad","Finnoya","3","18.07.2022",13.2,15,"s","y",28.5,"n","y",56,121,"n",""
"266","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,1,"s","y",28,"n","y",56.5,147,"",""
"267","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,28,"l","y",65,"n","y",56.5,163,"",""
"268","Kristineberg","Pittleholmen","2","08.06.2022",NA,12,"l","y",65,"n","y",56.5,157,"n",""
"269","Kristineberg","Pittleholmen","2","08.06.2022",NA,20,"l","y",65,"y","y",56.5,154,"y",""
"270","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,26,"l","y",97.5,"y","y",56.5,156,"y",""
"271","Helligvaer","Gudmunholmen","2","12.06.2022",NA,24,"l","y",88,"n","y",56.5,127,"n",""
"272","Ringstad","Hongvaeret","2","27.06.2022",11.7,4,"l","y",35,"n","y",56.5,122,"y",""
"273","Hitra","Teistholmen 10","3","07.07.2022",13,14,"l","y",44,"y","y",57,147,"n",""
"274","Hitra","Teistholmen 10","3","07.07.2022",13,20,"l","n",0,"","y",57,139,"n",""
"275","Hitra","Teistholmen 10","3","07.07.2022",13,7,"s","y",10,"n","y",57,162,"n",""
"276","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,4,"l","y",78,"n","y",57,152,"y",""
"277","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,2,"l","y",65,"y","y",57,156,"y",""
"278","Kristineberg","Pittleholmen","2","08.06.2022",NA,2,"l","y",3,"n","y",57,170,"n",""
"279","Kristineberg","Pittleholmen","2","08.06.2022",NA,8,"l","y",43,"n","y",57,160,"y",""
"280","Austevoll","Lamoya","2","20.0.2022",13.9,12,"l","y",NA,"","y",57,114,"",""
"281","Ringstad","Finnoya","2","24.06.2022",10.3,17,"s","y",29.5,"n","y",57.5,124,"y",""
"282","Ringstad","Finnoya","2","24.06.2022",10.3,18,"l","y",90,"y","y",57.5,144,"y",""
"283","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,30,"l","y",78,"y","y",58,157,"",""
"284","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,14,"l","y",45,"y","y",58,153,"","y"
"285","Helligvaer","Litj-sorroy","2","13.06.2022",10,29,"s","y",37,"n","y",58,134,"y",""
"286","Helligvaer","Litj-sorroy","2","13.06.2022",10,12,"l","y",74,"y","y",58,149,"y",""
"287","Ringstad","Finnoya","2","24.06.2022",10.3,12,"l","y",75,"y","y",58,136,"y",""
"288","Ringstad","Hongvaeret","2","27.06.2022",11.7,7,"s","y",24,"y","y",58,139,"y",""
"289","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,4,"l","y",1,"y","y",58,131,"y",""
"290","Ringstad","Finnoya","3","18.07.2022",13.2,21,"s","y",25,"y","y",58,138,"n",""
"291","Ringstad","Finnoya","3","18.07.2022",13.2,18,"l","y",33,"y","y",58,125,"y",""
"292","Ringstad","Hongvaeret","3","20.07.2022",14,1,"s","y",18.5,"n","y",58,149,"n",""
"293","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,10,"l","y",78.5,"y","y",58.5,154,"y",""
"294","Ringstad","Hongvaeret","3","20.07.2022",14,7,"s","y",25.5,"y","y",58.5,143,"n","y"
"295","Kristineberg","Pittleholmen","3","12.07.2022",NA,16,"l","n",0,"","y",59,145,"",""
"296","Ringstad","Hongvaeret","2","27.06.2022",11.7,19,"s","y",8,"y","y",59,136,"y",""
"297","Ringstad","Finnoya","3","18.07.2022",13.2,22,"l","y",1,"n","y",59,147,"n",""
"298","Ringstad","Finnoya","2","24.06.2022",10.3,13,"s","y",27,"y","y",59.5,140,"y",""
"299","Ringstad","Finnoya","3","18.07.2022",13.2,20,"l","y",1,"n","y",59.5,168,"y",""
"300","Helligvaer","Litj-sorroy","2","13.06.2022",10,11,"s","y",30,"n","y",60,155,"y",""
"301","Ringstad","Finnoya","2","26.06.2022",12.5,26,"l","y",80,"y","y",60,154,"y",""
"302","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,17,"s","y",15,"n","y",60.5,165,"y",""
"303","Helligvaer","Litj-sorroy","2","13.06.2022",10,30,"l","y",83,"y","y",61,169,"y",""
"304","Helligvaer","Litj-sorroy","2","13.06.2022",10,14,"l","y",29.5,"n","y",61,167,"y",""
"305","Helligvaer","Gudmunholmen","3","05.07.2022",NA,30,"l","y",78,"y","y",61,157,"y","y"
"306","Helligvaer","Gudmunholmen","2","12.06.2022",NA,4,"l","y",77,"y","y",61.5,154,"y",""
"307","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,20,"l","y",84,"y","y",61.5,188,"y",""
"308","Helligvaer","Litj-sorroy","2","13.06.2022",10,18,"l","y",93,"n","y",62,163,"n",""
"309","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,14,"l","y",74,"y","y",62,176,"n","y"
"310","Ringstad","Finnoya","2","24.06.2022",10.3,20,"l","y",91,"y","y",62,157,"y",""
"311","Helligvaer","Store-kvannoya","2","10.06.2022",NA,18,"l","y",96,"y","y",62.5,166,"y",""
"312","Helligvaer","Store-kvannoya","2","10.06.2022",NA,20,"l","y",35,"n","y",62.5,180,"y",""
"313","Helligvaer","Store-kvannoya","2","10.06.2022",NA,10,"l","y",98,"n","y",62.5,169,"y",""
"314","Helligvaer","Gudmunholmen","2","12.06.2022",NA,10,"l","y",86,"n","y",62.5,179,"y",""
"315","Austevoll","Lamoya","2","20.0.2022",13.9,4,"l","y",76,"y","y",63,218,"n",""
"316","Helligvaer","Store-kvannoya","2","10.06.2022",NA,8,"l","y",90,"y","y",63,192,"y",""
"317","Ringstad","Hongvaeret","2","27.06.2022",11.7,8,"l","y",76,"n","y",63,170,"y",""
"318","Ringstad","Finnoya","2","24.06.2022",10.3,14,"l","n",0,"","y",64,183,"y",""
"319","Helligvaer","Store-kvannoya","2","10.06.2022",NA,12,"l","y",74,"y","y",67.5,197,"y",""
"320","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,20,"l","y",79,"y","y",67.5,191,"y",""
"321","Helligvaer","Gudmunholmen","2","12.06.2022",NA,3,"s","y",30,"y","n",NA,NA,"y",""
"322","Hitra","Teistholmen 10","2","12.06.2022",NA,1,"s","y",30,"n","y",NA,NA,"",""
"323","Hitra","Teistholmen 10","2","12.06.2022",NA,3,"s","n",0,"","n",NA,NA,"",""
"324","Hitra","Teistholmen 10","2","12.06.2022",NA,4,"l","n",0,"","n",NA,NA,"",""
"325","Hitra","Teistholmen 10","2","12.06.2022",NA,2,"l","n",0,"","n",NA,NA,"",""
"326","Hitra","Teistholmen 10","2","12.06.2022",NA,14,"l","y",96.5,"y","y",NA,NA,"n",""
"327","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,1,"s","n",0,"","n",NA,NA,"",""
"328","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,2,"l","n",0,"","n",NA,NA,"y","y"
"329","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,3,"s","y",9,"n","n",NA,NA,"y",""
"330","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,4,"l","y",48,"y","n",NA,NA,"y",""
"331","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,6,"l","y",20,"y","n",NA,NA,"y",""
"332","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,7,"s","n",0,"","n",NA,NA,"",""
"333","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,8,"l","n",0,"","n",NA,NA,"",""
"334","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,9,"s","y",2,"n","n",NA,NA,"y",""
"335","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,10,"l","y",90,"y","n",NA,NA,"n","y"
"336","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,21,"s","y",28,"y","n",NA,NA,"n",""
"337","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,22,"l","y",27,"y","n",NA,NA,"y",""
"338","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,23,"s","y",28,"y","n",NA,NA,"n",""
"339","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,24,"l","y",72,"y","n",NA,NA,"n",""
"340","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,25,"s","y",4,"y","n",NA,NA,"n",""
"341","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,26,"l","y",4,"y","n",NA,NA,"n",""
"342","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,27,"s","y",16,"y","n",NA,NA,"n",""
"343","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,28,"l","n",0,"","n",NA,NA,"",""
"344","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,29,"s","y",12,"y","n",NA,NA,"n",""
"345","Hitra","Steinrenningen s-8","3","11.07.2022",14.1,30,"l","y",84,"y","n",NA,NA,"y",""
"346","Hitra","Feoya f4-5","3","10.07.2022",12.8,5,"s","n",0,"","n",NA,NA,"",""
"347","Hitra","Feoya f4-5","3","10.07.2022",12.8,23,"s","n",0,"","n",NA,NA,"",""
"348","Hitra","Feoya f4-5","3","10.07.2022",12.8,24,"l","n",0,"","n",NA,NA,"",""
"349","Hitra","Feoya f4-5","3","10.07.2022",12.8,25,"s","n",0,"","n",NA,NA,"",""
"350","Hitra","Feoya f4-5","3","10.07.2022",12.8,26,"l","n",0,"","n",NA,NA,"",""
"351","Hitra","Feoya f4-5","3","10.07.2022",12.8,27,"s","n",0,"","n",NA,NA,"",""
"352","Hitra","Feoya f4-5","3","10.07.2022",12.8,30,"l","n",0,"","n",NA,NA,"",""
"353","Hitra","Teistholmen 10","3","07.07.2022",13,1,"s","y",21,"n","n",NA,NA,"n",""
"354","Hitra","Teistholmen 10","3","07.07.2022",13,2,"l","n",0,"","n",NA,NA,"n",""
"355","Hitra","Teistholmen 10","3","07.07.2022",13,3,"s","n",0,"","n",NA,NA,"n",""
"356","Hitra","Teistholmen 10","3","07.07.2022",13,4,"l","n",0,"","n",NA,NA,"n",""
"357","Hitra","Teistholmen 10","3","07.07.2022",13,5,"s","n",0,"","n",NA,NA,"n",""
"358","Arendal","Langrumpa","3","21.07.2022",17.7,28,"l","n",0,"n","n",NA,NA,"n",""
"359","Arendal","Langrumpa","3","21.07.2022",17.7,20,"l","y",5,"y","n",NA,NA,"n",""
"360","Arendal","Langrumpa","3","21.07.2022",17.7,30,"l","n",0,"","n",NA,NA,"n",""
"361","Arendal","Langrumpa","3","21.07.2022",17.7,22,"l","y",0.5,"y","n",NA,NA,"n",""
"362","Arendal","Langrumpa","3","21.07.2022",17.7,11,"s","y",15,"n","n",NA,NA,"n",""
"363","Arendal","Langrumpa","3","21.07.2022",17.7,25,"s","y",16,"y","n",NA,NA,"n",""
"364","Arendal","Langrumpa","3","21.07.2022",17.7,29,"s","y",1,"y","n",NA,NA,"n",""
"365","Arendal","Langrumpa","3","21.07.2022",17.7,27,"s","n",0,"","n",NA,NA,"n",""
"366","Arendal","Langrumpa","3","21.07.2022",17.7,23,"s","n",0,"","n",NA,NA,"n",""
"367","Arendal","Langrumpa","3","21.07.2022",17.7,13,"s","y",2,"y","n",NA,NA,"n",""
"368","Arendal","Langrumpa","3","21.07.2022",17.7,17,"s","y",3,"n","n",NA,NA,"n",""
"369","Arendal","Sven Johnsens","3","20.07.2022",16.6,6,"l","y",6,"n","n",NA,NA,"n",""
"370","Arendal","Sven Johnsens","3","20.07.2022",16.6,2,"l","y",3,"y","n",NA,NA,"n",""
"371","Arendal","Sven Johnsens","3","20.07.2022",16.6,16,"l","y",1,"n","n",NA,NA,"n",""
"372","Arendal","Sven Johnsens","3","20.07.2022",16.6,18,"l","y",9,"y","n",NA,NA,"n",""
"373","Arendal","Sven Johnsens","3","20.07.2022",16.6,15,"s","y",12,"n","n",NA,NA,"n",""
"374","Arendal","Sven Johnsens","3","20.07.2022",16.6,3,"s","y",0.5,"y","n",NA,NA,"n",""
"375","Arendal","Sven Johnsens","3","20.07.2022",16.6,13,"s","y",14,"n","n",NA,NA,"n",""
"376","Arendal","Sven Johnsens","3","20.07.2022",16.6,7,"s","y",1,"n","n",NA,NA,"n",""
"377","Arendal","Sven Johnsens","3","20.07.2022",16.6,9,"s","y",1,"n","n",NA,NA,"n",""
"378","Arendal","Sven Johnsens","3","20.07.2022",16.6,17,"s","y",5,"n","n",NA,NA,"n",""
"379","Arendal","St Helena","3","19.07.2022",17.3,3,"s","y",12,"y","n",NA,NA,"y",""
"380","Arendal","St Helena","3","19.07.2022",17.3,6,"l","y",6,"y","n",NA,NA,"n",""
"381","Arendal","St Helena","3","19.07.2022",17.3,7,"s","y",3,"n","n",NA,NA,"n",""
"382","Arendal","St Helena","3","19.07.2022",17.3,22,"l","y",0.25,"y","n",NA,NA,"n",""
"383","Arendal","St Helena","3","19.07.2022",17.3,24,"l","y",6,"n","n",NA,NA,"n",""
"384","Arendal","St Helena","3","19.07.2022",17.3,28,"l","y",2,"y","n",NA,NA,"n",""
"385","Arendal","St Helena","3","19.07.2022",17.3,29,"s","y",1,"y","n",NA,NA,"n",""
"386","Arendal","Sven Johnsens","2","22.06.2022",14.6,18,"l","y",55,"n","n",NA,NA,"y",""
"387","Arendal","Sven Johnsens","2","22.06.2022",14.6,3,"s","y",13,"n","n",NA,NA,"y",""
"388","Arendal","Sven Johnsens","2","22.06.2022",14.6,16,"l","y",5,"n","n",NA,NA,"n",""
"389","Arendal","Sven Johnsens","2","22.06.2022",14.6,10,"l","y",40,"n","n",NA,NA,"y",""
"390","Arendal","Sven Johnsens","2","22.06.2022",14.6,4,"l","y",70,"n","n",NA,NA,"y",""
"391","Arendal","Sven Johnsens","2","22.06.2022",14.6,11,"s","y",4,"n","n",NA,NA,"n",""
"392","Arendal","Sven Johnsens","2","22.06.2022",14.6,17,"s","y",13,"n","n",NA,NA,"n",""
"393","Arendal","Sven Johnsens","2","22.06.2022",14.6,9,"s","y",5,"n","n",NA,NA,"n",""
"394","Arendal","Sven Johnsens","2","22.06.2022",14.6,15,"s","y",18,"n","n",NA,NA,"y",""
"395","Arendal","Sven Johnsens","2","22.06.2022",14.6,5,"s","y",6,"n","n",NA,NA,"y",""
"396","Arendal","Sven Johnsens","2","22.06.2022",14.6,2,"l","y",48,"y","n",NA,NA,"y",""
"397","Arendal","Langrumpa","2","21.06.2022",14.5,24,"l","n",0,"","n",NA,NA,"",""
"398","Arendal","Langrumpa","2","21.06.2022",14.5,14,"l","y",39,"n","n",NA,NA,"y",""
"399","Arendal","Langrumpa","2","21.06.2022",14.5,30,"l","y",16,"n","n",NA,NA,"y",""
"400","Arendal","Langrumpa","2","21.06.2022",14.5,19,"s","y",18,"n","n",NA,NA,"y",""
"401","Arendal","Langrumpa","2","21.06.2022",14.5,21,"s","y",6,"y","n",NA,NA,"y",""
"402","Arendal","Langrumpa","2","21.06.2022",14.5,23,"s","y",12,"n","n",NA,NA,"y",""
"403","Arendal","Langrumpa","2","21.06.2022",14.5,11,"s","y",3,"y","n",NA,NA,"y",""
"404","Arendal","Langrumpa","2","21.06.2022",14.5,25,"s","n",0,"","n",NA,NA,"",""
"405","Arendal","Langrumpa","2","21.06.2022",14.5,27,"s","y",20,"n","n",NA,NA,"y",""
"406","Arendal","Langrumpa","2","21.06.2022",14.5,29,"s","y",5,"n","n",NA,NA,"y",""
"407","Arendal","Langrumpa","2","21.06.2022",14.5,15,"","",NA,"","",NA,NA,"",""
"408","Arendal","Langrumpa","2","21.06.2022",14.5,20,"l","y",36,"n","n",NA,NA,"",""
"409","Arendal","Langrumpa","2","21.06.2022",14.5,18,"l","y",20,"n","n",NA,NA,"",""
"410","Arendal","Langrumpa","2","21.06.2022",14.5,28,"l","y",17,"n","n",NA,NA,"",""
"411","Arendal","St Helena","2","17.06.2022",NA,10,"l","n",0,"","n",NA,NA,"",""
"412","Arendal","St Helena","2","17.06.2022",NA,4,"l","y",2,"n","n",NA,NA,"",""
"413","Arendal","St Helena","2","17.06.2022",NA,9,"s","y",3,"y","n",NA,NA,"",""
"414","Arendal","St Helena","2","17.06.2022",NA,24,"l","y",15,"n","n",NA,NA,"",""
"415","Arendal","St Helena","2","17.06.2022",NA,8,"l","y",5,"n","n",NA,NA,"",""
"416","Arendal","St Helena","2","17.06.2022",NA,3,"s","y",0.25,"n","n",NA,NA,"",""
"417","Arendal","St Helena","2","17.06.2022",NA,21,"s","n",0,"n","n",NA,NA,"",""
"418","Arendal","St Helena","2","17.06.2022",NA,7,"s","y",16,"n","n",NA,NA,"y",""
"419","Arendal","St Helena","2","17.06.2022",NA,23,"s","n",0,"","n",NA,NA,"",""
"420","Arendal","St Helena","2","17.06.2022",NA,5,"s","n",0,"","n",NA,NA,"",""
"421","Arendal","St Helena","2","17.06.2022",NA,6,"l","n",0,"","n",NA,NA,"",""
"422","Kristineberg","Blabergsholmen","3","15.07.2022",NA,22,"l","y",30,"y","n",NA,NA,"",""
"423","Kristineberg","Blabergsholmen","3","15.07.2022",NA,28,"l","y",18,"n","n",NA,NA,"y",""
"424","Kristineberg","Blabergsholmen","3","15.07.2022",NA,26,"l","y",8,"y","n",NA,NA,"n","y"
"425","Kristineberg","Blabergsholmen","3","15.07.2022",NA,2,"l","y",12,"n","n",NA,NA,"n",""
"426","Kristineberg","Blabergsholmen","3","15.07.2022",NA,25,"s","y",15,"y","n",NA,NA,"y",""
"427","Kristineberg","Blabergsholmen","3","15.07.2022",NA,3,"s","y",30,"n","n",NA,NA,"y",""
"428","Kristineberg","Blabergsholmen","3","15.07.2022",NA,1,"s","y",0.5,"y","n",NA,NA,"n","y"
"429","Kristineberg","Blabergsholmen","3","15.07.2022",NA,7,"s","n",0,"","n",NA,NA,"",""
"430","Kristineberg","Blabergsholmen","3","15.07.2022",NA,21,"s","y",0.5,"n","n",NA,NA,"n",""
"431","Kristineberg","Blabergsholmen","3","15.07.2022",NA,9,"s","n",0,"","n",NA,NA,"",""
"432","Kristineberg","Blabergsholmen","3","15.07.2022",NA,8,"l","y",1,"y","n",NA,NA,"n","y"
"433","Kristineberg","Blabergsholmen","3","15.07.2022",NA,10,"l","y",0.5,"n","n",NA,NA,"n",""
"434","Kristineberg","Blabergsholmen","3","15.07.2022",NA,24,"l","n",0,"","n",NA,NA,"",""
"435","Kristineberg","Blabergsholmen","3","15.07.2022",NA,4,"l","y",0.5,"n","n",NA,NA,"n",""
"436","Kristineberg","Blabergsholmen","3","15.07.2022",NA,6,"l","y",0.5,"n","n",NA,NA,"n",""
"437","Kristineberg","Pittleholmen","3","12.07.2022",NA,18,"l","y",60,"y","y",NA,NA,"y",""
"438","Kristineberg","Pittleholmen","3","12.07.2022",NA,12,"l","y",9,"y","n",NA,NA,"n",""
"439","Kristineberg","Pittleholmen","3","12.07.2022",NA,2,"l","y",4,"y","n",NA,NA,"n",""
"440","Kristineberg","Pittleholmen","3","12.07.2022",NA,6,"l","n",0,"","n",NA,NA,"",""
"441","Kristineberg","Pittleholmen","3","12.07.2022",NA,11,"s","y",1,"y","n",NA,NA,"n",""
"442","Kristineberg","Pittleholmen","3","12.07.2022",NA,15,"s","y",25,"y","n",NA,NA,"n",""
"443","Kristineberg","Pittleholmen","3","12.07.2022",NA,7,"s","y",4,"y","n",NA,NA,"n",""
"444","Kristineberg","Pittleholmen","3","12.07.2022",NA,9,"s","y",6,"y","n",NA,NA,"n",""
"445","Kristineberg","Pittleholmen","3","12.07.2022",NA,1,"s","y",8,"y","n",NA,NA,"n",""
"446","Kristineberg","Pittleholmen","3","12.07.2022",NA,3,"s","n",0,"","n",NA,NA,"",""
"447","Kristineberg","Pittleholmen","3","12.07.2022",NA,5,"s","y",4,"y","n",NA,NA,"n",""
"448","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,24,"l","n",0,"","n",NA,NA,"",""
"449","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,13,"s","n",0,"","n",NA,NA,"",""
"450","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,19,"s","n",0,"","",NA,NA,"",""
"451","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,15,"s","y",27.5,"n","n",NA,NA,"n",""
"452","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,17,"s","n",0,"","n",NA,NA,"",""
"453","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,27,"s","y",17,"y","n",NA,NA,"n",""
"454","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,23,"s","n",0,"","n",NA,NA,"",""
"455","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,11,"","",NA,"","",NA,NA,"",""
"456","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,18,"","",NA,"","",NA,NA,"",""
"457","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,10,"l","y",58.5,"n","y",NA,NA,"",""
"458","Kristineberg","Blabergsholmen","2","10.06.2022",14.5,9,"s","y",27,"n","y",NA,NA,"",""
"459","Kristineberg","Pittleholmen","2","08.06.2022",NA,7,"s","y",11,"y","n",NA,NA,"y",""
"460","Kristineberg","Pittleholmen","2","08.06.2022",NA,3,"s","n",0,"","n",NA,NA,"",""
"461","Kristineberg","Pittleholmen","2","08.06.2022",NA,9,"s","n",0,"","n",NA,NA,"",""
"462","Kristineberg","Pittleholmen","2","08.06.2022",NA,11,"s","y",12,"n","n",NA,NA,"n",""
"463","Kristineberg","Pittleholmen","2","08.06.2022",NA,13,"s","n",0,"","n",NA,NA,"",""
"464","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,11,"s","y",30,"n","n",NA,NA,"n",""
"465","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,28,"l","n",0,"","n",NA,NA,"",""
"466","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,25,"s","n",0,"","n",NA,NA,"",""
"467","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,29,"","n",NA,"","n",NA,NA,"",""
"468","Austevoll","Lamoya","3","22.07.2022",NA,1,"s","n",0,"","n",NA,NA,"",""
"469","Austevoll","Lamoya","3","22.07.2022",NA,2,"l","n",0,"","n",NA,NA,"",""
"470","Austevoll","Lamoya","3","22.07.2022",NA,3,"s","n",0,"","n",NA,NA,"",""
"471","Austevoll","Lamoya","3","22.07.2022",NA,4,"l","n",0,"","n",NA,NA,"",""
"472","Austevoll","Lamoya","3","22.07.2022",NA,5,"s","n",0,"","n",NA,NA,"",""
"473","Austevoll","Lamoya","3","22.07.2022",NA,6,"l","n",0,"","n",NA,NA,"",""
"474","Austevoll","Lamoya","3","22.07.2022",NA,7,"s","n",0,"","n",NA,NA,"",""
"475","Austevoll","Lamoya","3","22.07.2022",NA,8,"l","n",0,"","n",NA,NA,"",""
"476","Austevoll","Lamoya","3","22.07.2022",NA,9,"s","n",0,"","n",NA,NA,"",""
"477","Austevoll","Lamoya","3","22.07.2022",NA,10,"l","n",0,"","n",NA,NA,"",""
"478","Austevoll","Lamoya","3","22.07.2022",NA,12,"l","y",10,"n","n",NA,NA,"n",""
"479","Austevoll","Lamoya","3","22.07.2022",NA,13,"s","n",0,"n","n",NA,NA,"",""
"480","Austevoll","Lamoya","3","22.07.2022",NA,15,"s","n",0,"n","n",NA,NA,"",""
"481","Austevoll","Lamoya","3","22.07.2022",NA,19,"s","n",0,"n","n",NA,NA,"",""
"482","Austevoll","Lamoya","3","22.07.2022",NA,20,"l","y",36,"y","n",NA,NA,"n",""
"483","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,11,"s","n",0,"","n",NA,NA,"",""
"484","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,14,"l","y",36,"y","n",NA,NA,"n",""
"485","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,17,"s","n",0,"","n",NA,NA,"",""
"486","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,18,"l","n",0,"","n",NA,NA,"",""
"487","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,19,"s","y",14,"y","n",NA,NA,"y",""
"488","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,22,"l","n",0,"","n",NA,NA,"",""
"489","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,23,"s","n",0,"","n",NA,NA,"",""
"490","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,25,"s","n",0,"","n",NA,NA,"",""
"491","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,26,"l","n",0,"","n",NA,NA,"",""
"492","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,27,"s","n",0,"","n",NA,NA,"",""
"493","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,28,"l","n",0,"","n",NA,NA,"",""
"494","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,29,"s","n",0,"","n",NA,NA,"",""
"495","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,30,"l","y",36,"n","n",NA,NA,"y",""
"496","Austevoll","Krabbavika","3","21.07.2022",15.9,2,"l","n",0,"","n",NA,NA,"",""
"497","Austevoll","Krabbavika","3","21.07.2022",15.9,3,"s","y",39,"n","n",NA,NA,"n",""
"498","Austevoll","Krabbavika","3","21.07.2022",15.9,4,"l","y",75,"n","n",NA,NA,"y",""
"499","Austevoll","Krabbavika","3","21.07.2022",15.9,8,"l","n",0,"","n",NA,NA,"",""
"500","Austevoll","Krabbavika","3","21.07.2022",15.9,23,"s","n",0,"","",NA,NA,"",""
"501","Austevoll","Krabbavika","3","21.07.2022",15.9,24,"l","n",0,"","",NA,NA,"",""
"502","Austevoll","Krabbavika","3","21.07.2022",15.9,25,"s","n",0,"","",NA,NA,"",""
"503","Austevoll","Krabbavika","3","21.07.2022",15.9,28,"l","n",0,"","",NA,NA,"",""
"504","Austevoll","Krabbavika","3","21.07.2022",15.9,29,"s","n",0,"","",NA,NA,"",""
"505","Austevoll","Krabbavika","3","21.07.2022",15.9,30,"l","n",0,"","",NA,NA,"",""
"506","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,11,"s","n",0,"","",NA,NA,"",""
"507","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,17,"s","n",0,"","",NA,NA,"",""
"508","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,18,"l","y",16.5,"y","",NA,NA,"n",""
"509","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,23,"s","y",6,"n","",NA,NA,"y",""
"510","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,24,"l","y",74.5,"n","",NA,NA,"y",""
"511","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,25,"s","y",19,"n","",NA,NA,"n",""
"512","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,27,"s","y",NA,"n","",NA,NA,"n",""
